name,description,module,path
"brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods. Use when the user says help me brainstorm or help me ideate.","core","_bmad/core/workflows/brainstorming/workflow.md"
"party-mode","Orchestrates group discussions between all installed BMAD agents, enabling natural multi-agent conversations. Use when user requests party mode.","core","_bmad/core/workflows/party-mode/workflow.md"
"workflow-status","Scan _bmad-output/ artifacts, detect PDLC phase maturity, check DoR gates, report status. Run at start of any session.","bmm","_bmad/bmm/workflows/workflow-status/workflow.yaml"
"pdlc-master","Full PDLC orchestration: inventory scan, gap detection, gate check, CIS review, write pdlc_state.md.","bmm","_bmad/bmm/workflows/pdlc-master/workflow.md"
"create-story","Generate developer-ready story file from epics, PRD, architecture, and tech spec.","bmm","_bmad/bmm/workflows/4-implementation/create-story/workflow.yaml"
"dev-story","TDD-driven story implementation: read story, execute tasks in order, write tests first.","bmm","_bmad/bmm/workflows/4-implementation/dev-story/workflow.yaml"
"sprint-planning","Generate or regenerate sprint-status.yaml from epic files. Run after epics and stories are created.","bmm","_bmad/bmm/workflows/4-implementation/sprint-planning/workflow.yaml"
"code-review","Systematic quality, security, and architecture review of changed code files.","bmm","_bmad/bmm/workflows/4-implementation/code-review/workflow.yaml"
"retrospective","Facilitate structured retrospective after an epic is completed. Generate action items.","bmm","_bmad/bmm/workflows/4-implementation/retrospective/workflow.yaml"
"correct-course","Recovery workflow when implementation is off-track: diagnose, plan correction, update story.","bmm","_bmad/bmm/workflows/4-implementation/correct-course/workflow.yaml"
"check-implementation-readiness","Validate all DoR gates before starting build. Check UX, architecture, security, compliance approvals.","bmm","_bmad/bmm/workflows/3-solutioning/check-implementation-readiness/workflow.md"
"create-architecture","Generate architecture review document, security review, and deployment design.","bmm","_bmad/bmm/workflows/3-solutioning/create-architecture/workflow.md"
"document-project","Brownfield project analysis: scan codebase, generate project-context.md and tech spec.","bmm","_bmad/bmm/workflows/document-project/workflow.yaml"
"weekly-standup","Collect cross-team async standup updates, surface blockers, write summary to status/.","bmm","_bmad/bmm/workflows/company/weekly-standup/workflow.yaml"
"okr-checkin","Score OKRs, flag reds, recommend adjustments. Write check-in report to planning-artifacts/okrs/.","bmm","_bmad/bmm/workflows/company/okr-checkin/workflow.yaml"
"board-prep","Aggregate all agent outputs into board pack. Write to status/board-pack.md.","bmm","_bmad/bmm/workflows/company/board-prep/workflow.yaml"
"health-review","Score all customer accounts, generate intervention plans, update 8-growth/customer-health-report.md.","bmm","_bmad/bmm/workflows/company/health-review/workflow.yaml"
"qbr-prep","Build Quarterly Business Review document for a specific customer account.","bmm","_bmad/bmm/workflows/company/qbr-prep/workflow.yaml"
"gtm-plan","Create go-to-market strategy: channels, messaging, launch sequence, success metrics.","bmm","_bmad/bmm/workflows/company/gtm-plan/workflow.yaml"
"pipeline-review","Pipeline stage analysis, weighted forecast, stalled deal alerts, action items.","bmm","_bmad/bmm/workflows/company/pipeline-review/workflow.yaml"
"financial-review","Monthly burn, revenue, runway, budget vs actual update. Write to status/financial-model.md.","bmm","_bmad/bmm/workflows/company/financial-review/workflow.yaml"
"runway-projection","3-scenario runway model (base/optimistic/conservative). Write to status/runway-scenarios.md.","bmm","_bmad/bmm/workflows/company/runway-projection/workflow.yaml"
"idea-intake","Pull ideas from ClickUp Idea Intake list (901521947569), score them on Impact/Ease/Fit, create 0-portfolio/ brief, update ClickUp status, and create Phase 1 kickoff task.","bmm","_bmad/bmm/workflows/0-intake/idea-intake/workflow.yaml"
